t	p_1	p_2	p_4	p_3	
0 	1	0	0	0	 
0.1 	0.9006247348493057	0.09033024642520072	0.00015074205269317671	0.004520351799136369	 
0.22949485123548208 	0.7774050158501167	0.18079805287807718	0.0015971125210964784	0.02083861238525357	 
0.3553118383255841 	0.66802888320683	0.24378291889230508	0.005206087655557966	0.043759778611454164	 
0.4885855329689964 	0.5662309664078191	0.28811778116879616	0.011776797800715496	0.07169900622490556	 
0.6252873544373041 	0.4779937103593037	0.3143447618409111	0.02135834256593845	0.10106156639470623	 
0.765895406443182 	0.4040291367499507	0.32577902003168047	0.03375373663378249	0.1295304461010107	 
0.9099346599475926 	0.34455453708918843	0.32575211036689633	0.04840942157901512	0.1551702851047489	 
1.0579812901370025 	0.29856192366933987	0.3175483565312184	0.06468558810859741	0.17683464156119932	 
1.2108473052962103 	0.2647258473753588	0.3040521875163066	0.08188698491592811	0.19390014383973797	 
1.3695613503342319 	0.2416150726527225	0.2877002863261268	0.09931459892590863	0.206168707441184	 
1.535199710041341 	0.22780376596821608	0.27050930370932913	0.11628392820228436	0.2137786101560359	 
1.70883373828902 	0.2218669464356266	0.25410695178236625	0.13215558432970234	0.21715685242510757	 
1.8914408673555085 	0.2223526014312557	0.23975034060281317	0.14637082715613378	0.21697633686797418	 
2.0837631985529828 	0.22775611037725277	0.22832572487274583	0.15849466393006617	0.2141057131112755	 
2.2861029658727694 	0.2365231755804487	0.22033172990292021	0.16826374650469728	0.2095388725618923	 
2.4982105845698763 	0.24711252806221035	0.21585834191539705	0.17563244324942945	0.20429113513491612	 
2.7195498564669642 	0.2581362677742465	0.21460387423742333	0.18079182540403319	0.1992638572552397	 
2.75 	0.2595890856086983	0.2146508021564585	0.1813364324247949	0.1986441203297212	 
